model,structure,n,seed,cpu_time,wall_time,departures,throughput,L,L_q,W
Tandem1Queue,tandem,1,1,0.65625,0.6542589999735355,8089,0.8089,0.8158854254645572,0.0003260437846944445,1.0086357095618212
Tandem1Queue,tandem,1,2,0.578125,0.5812389000784606,8034,0.8034,0.8039787872337213,9.709609199999999e-05,1.0007204222475994
Tandem1Queue,tandem,1,3,0.53125,0.5284781000809744,7898,0.7898,0.7914476543434448,0.0005305763254999999,1.0020861665528549
Tandem1Queue,tandem,1,4,0.578125,0.5872825999977067,8034,0.8034,0.8066201371741355,0.00048343212855555563,1.0040081368859042
Tandem1Queue,tandem,1,5,0.53125,0.5355371000478044,7987,0.7987,0.8189899440861085,0.00034945785036111113,1.0254037111382353
Tandem1Queue,tandem,1,6,0.5625,0.5786148000042886,7942,0.7942,0.791250487078698,0.0003388529089166666,0.996286183680053
Tandem1Queue,tandem,1,7,0.5,0.544420599937439,8073,0.8073,0.8095026368844178,0.0002667971144444444,1.0027283994604457
Tandem1Queue,tandem,1,8,0.53125,0.5238859000382945,8086,0.8086,0.7989298235980569,0.00023581345183333328,0.9880408404625982
Tandem1Queue,tandem,1,9,0.53125,0.5331111999694258,8066,0.8066,0.7989026018002809,0.00020501993172222219,0.9904569821476332
Tandem1Queue,tandem,1,10,0.515625,0.5070938999997452,7910,0.791,0.7710358615643067,6.43737463888889e-05,0.9747608869333839
Tandem1Queue,tandem,1,11,0.625,0.6384362999815494,8024,0.8024,0.7948719829827794,0.00017500709580555557,0.990618124355408
Tandem1Queue,tandem,1,12,0.65625,0.6575358000118285,7961,0.7961,0.8011865616416688,0.0002836245015555555,1.0063893501339891
Tandem1Queue,tandem,1,13,0.78125,0.7804884000215679,7993,0.7993,0.8073878123364733,0.00023236724044444444,1.0101186192124025
Tandem1Queue,tandem,1,14,0.640625,0.6657800000393763,8032,0.8032,0.8202810842231963,0.00020308130163888886,1.0212662901185212
Tandem1Queue,tandem,1,15,0.625,0.6235402000602335,8092,0.8092,0.8186387786331097,0.0007419021872222222,1.0116643334566358
Tandem1Queue,tandem,1,16,0.609375,0.6031785000814125,7945,0.7945,0.7977474586627776,0.0003005805442777778,1.004087424371023
Tandem1Queue,tandem,1,17,0.609375,0.62319379998371,8018,0.8018,0.8007944122146672,0.00016466621602777775,0.9987458371347808
Tandem1Queue,tandem,1,18,0.484375,0.4755303000565618,8053,0.8053,0.801736546518894,0.0003494542193333333,0.9955749987816889
Tandem1Queue,tandem,1,19,0.5625,0.5742378999711946,8106,0.8106,0.8181476167126385,0.00011058179622222222,1.0093111481774468
Tandem1Queue,tandem,1,20,0.5625,0.5863769999705255,7994,0.7994,0.7938235414606108,0.0004650420649166666,0.9930241949719926
Tandem1Queue,tandem,1,21,0.484375,0.4894693000242114,7833,0.7833,0.7821604775630556,0.0005085633655277778,0.9985452286008626
Tandem1Queue,tandem,1,22,0.515625,0.5360995000228286,8025,0.8025,0.8082331831031135,0.0005690807450555555,1.0071441533995185
Tandem1Queue,tandem,1,23,0.484375,0.4993914000224322,7880,0.788,0.7904752701257511,0.0004585855388055555,1.0031412057433389
Tandem1Queue,tandem,1,24,0.609375,0.6100694000488147,8072,0.8072,0.7849457480764082,0.00027966233461111114,0.9724303122849457
Tandem1Queue,tandem,1,25,0.578125,0.5725375999463722,7950,0.795,0.7999637243950827,0.00015909962002777777,1.0062436784843807
Tandem1Queue,tandem,1,26,0.625,0.6280607000226155,7919,0.7919,0.7874657497875309,0.0006186436523611113,0.9944004922181221
Tandem1Queue,tandem,1,27,0.625,0.634577100048773,7975,0.7975,0.7941518109535588,0.00019328736702777777,0.9958016438289139
Tandem1Queue,tandem,1,28,0.65625,0.6554354000836611,8044,0.8044,0.8231439354895851,0.0004909030275833334,1.0233017596837208
Tandem1Queue,tandem,1,29,0.53125,0.5289167000446469,8067,0.8067,0.8061123366791109,0.00036977206625000004,0.9992715218533667
Tandem1Queue,tandem,1,30,0.53125,0.5342558000702411,8050,0.805,0.8012796913167788,0.00033984523780555554,0.9953784985301599
Tandem2Queue,tandem,2,1,0.828125,0.8403766999254003,8068,0.8068,1.6284060938365195,0.0006193662551388888,2.018351628453792
Tandem2Queue,tandem,2,2,0.84375,0.8455677999882028,7933,0.7933,1.5806223482564588,0.0005776911720277778,1.9924648282572277
Tandem2Queue,tandem,2,3,0.8125,0.8303673999616876,8008,0.8008,1.5944904721429736,0.0006111851514722222,1.9911219682105066
Tandem2Queue,tandem,2,4,0.875,0.8969058999791741,7905,0.7905,1.5814618371528388,0.0002619886072222222,2.00058423422244
Tandem2Queue,tandem,2,5,1.078125,1.0764697999693453,7962,0.7962,1.6106084477274476,0.0003131803308611111,2.022869188303752
Tandem2Queue,tandem,2,6,0.90625,0.9429655000567436,7936,0.7936,1.5956125971969635,0.0005071151100277778,2.010600550903432
