model,structure,n,cpu_mean,cpu_std,cpu_ci_lo,cpu_ci_hi,wall_mean,wall_std,throughput_mean,throughput_std,L_mean,L_std,W_mean,W_std
Tandem1Queue,tandem,1,0.5770833333333333,0.06678890553302136,0.5521467463800489,0.6020199202866177,0.5830344400213411,0.06627612962043168,0.8005066666666667,0.00705529555740217,0.8013030360701506,0.012302933567163079,1.0009862084803915,0.011850678760719791
Tandem2Queue,tandem,2,1.04375,0.15605591394068366,0.9854843069706074,1.1020156930293925,1.060804039996583,0.16253063719099353,0.80018,0.00817681330727741,1.5993290376451756,0.02025465374183334,1.9987299762433535,0.017381207064575868
Tandem3Queue,tandem,3,1.3260416666666666,0.1473621628513571,1.2710219091449613,1.3810614241883719,1.3423830966542785,0.14669653399749716,0.8005366666666667,0.00897565609294667,2.3992592280424616,0.029381368480369867,2.9971071617379663,0.022116538107497072
Tandem5Queue,tandem,5,2.099479166666667,0.2916677891501389,1.9905808529786446,2.208377480354689,2.1209529833169656,0.2947728071730973,0.8012533333333334,0.01048357445403681,4.00319728017349,0.05653706958368218,4.996169318211097,0.02663313563394857
Tandem10Queue,tandem,10,4.172395833333334,0.4444582765261071,4.006451020025674,4.338340646640994,4.223441136686597,0.4505844538139605,0.8020566666666666,0.008258983962446835,8.014284686852447,0.07710762937279739,9.992302800136835,0.03815129613946781
Tandem20Queue,tandem,20,8.3296875,0.5969930432560506,8.106791664009695,8.552583335990306,8.43529330000747,0.6182611004108554,0.8013133333333333,0.010543856957500422,16.023912301776928,0.21568837646163785,19.997032616999075,0.04644641557598771
ForkJoin1Queue,fork_join,1,1.0229166666666667,0.040148342030725155,1.007926712660243,1.0379066206730905,1.0385760733275675,0.04648285223297542,0.8005066666666667,0.00705529555740217,0.8013030360701506,0.012302933567163079,1.0009862084803915,0.011850678760719791
ForkJoin2Queue,fork_join,2,1.6098958333333333,0.06896558739669564,1.5841465512755257,1.6356451153911409,1.6224735966728379,0.06404269924944134,0.80128,0.008445092433294995,1.0887060360431815,0.012243248508549806,1.3587386760764641,0.010593734125243351
ForkJoin3Queue,fork_join,3,2.159375,0.06672164579236171,2.134463525426654,2.1842864745733457,2.1784326100139877,0.06337223431804088,0.8017,0.008707864063691164,1.2557129526392896,0.01593490693121125,1.5663309636154419,0.01279387775120479
ForkJoin5Queue,fork_join,5,3.338020833333333,0.1755093482974592,3.2724919241529005,3.403549742513766,3.3809092666759777,0.17424136334659712,0.80141,0.010440285040368298,1.4581267739033723,0.01779747137056406,1.8194919109055705,0.009125108455812337
ForkJoin10Queue,fork_join,10,6.361458333333333,0.3004613610000843,6.249276814638191,6.473639852028476,6.434891133340231,0.29745948736964506,0.8000566666666666,0.008488356460605246,1.709212163050523,0.015928529831597957,2.136416581010733,0.010779339825041074
ForkJoin20Queue,fork_join,20,12.1265625,0.41165073069782315,11.972866850123628,12.280258149876373,12.268075686677669,0.4137714289025648,0.80039,0.00913448750992443,1.945145781762204,0.018429345035267483,2.430310926941667,0.00908993036873583
Feedback1Queue,feedback,1,1.3885416666666666,0.06726618454567891,1.3634268808118561,1.413656452521477,1.4116655799909494,0.0654868595031138,0.8006333333333333,0.009529820106611018,1.6160321395976467,0.026205931016485752,2.018461049266632,0.02395849229472442
Feedback2Queue,feedback,2,2.1041666666666665,0.07122945358116448,2.077572137999275,2.130761195334058,2.1281277966607983,0.07019801378769651,0.8017666666666666,0.008278361212692775,3.228001337615509,0.04627645664418428,4.026139100163163,0.04333501176966379
Feedback3Queue,feedback,3,2.9526041666666667,0.1801020486685991,2.8853605075402466,3.0198478257930867,2.980824656656478,0.18263252346222508,0.8000833333333334,0.01028222716157832,4.817604208993618,0.07491113432457809,6.021461442778533,0.06183011597435384
Feedback5Queue,feedback,5,4.469270833333334,0.18080184512849368,4.401765895254481,4.536775771412186,4.513062979987201,0.17193639575273664,0.8011566666666666,0.009384642014862712,8.055299113469426,0.1228362278315121,10.054627802934743,0.102388661988306
Feedback10Queue,feedback,10,8.458333333333334,0.24781281027578378,8.365808899188735,8.550857767477932,8.55510614333131,0.23613507041064663,0.79961,0.00936458294816717,16.144892213435142,0.2737194993841757,20.19042729378693,0.19821921774201443
Feedback20Queue,feedback,20,16.539583333333333,0.4616147554739389,16.367232904816372,16.711933761850293,16.747730339997602,0.4693054253966284,0.80111,0.009730802497295864,32.34782876371591,0.5074492513192677,40.37828416680033,0.35059084802791785
